"";"respondent"
"1";100
"2";100
"3";100
"4";100
"5";100
"6";100
"7";100
"8";100
"9";100
"10";100
"11";100
"12";100
"13";100
"14";100
"15";100
"16";100
"17";100
"18";100
"19";100
"20";100
"21";100
"22";100
"23";100
"24";100
"25";100
"26";100
"27";100
"28";100
"29";100
"30";100
"31";100
"32";100
"33";100
"34";100
"35";100
"36";100
"37";1000
"38";1000
"39";1000
"40";1000
"41";1000
"42";1000
"43";1000
"44";1000
"45";1000
"46";1000
"47";1000
"48";1000
"49";1000
"50";1000
"51";1000
"52";1000
"53";1000
"54";1000
"55";1000
"56";1000
"57";1000
"58";1000
"59";1000
"60";1000
"61";1000
"62";1000
"63";1000
"64";1000
"65";1000
"66";1000
"67";1000
"68";1000
"69";1000
"70";1000
"71";1000
"72";1000
"73";1001
"74";1001
"75";1001
"76";1001
"77";1001
"78";1001
"79";1001
"80";1001
"81";1001
"82";1001
"83";1001
"84";1001
"85";1001
"86";1001
"87";1001
"88";1001
"89";1001
"90";1001
"91";1001
"92";1001
"93";1001
"94";1001
"95";1001
"96";1001
"97";1001
"98";1001
"99";1001
"100";1001
"101";1001
"102";1001
"103";1001
"104";1001
"105";1001
"106";1001
"107";1001
"108";1001
"109";1002
"110";1002
"111";1002
"112";1002
"113";1002
"114";1002
"115";1002
"116";1002
"117";1002
"118";1002
"119";1002
"120";1002
"121";1002
"122";1002
"123";1002
"124";1002
"125";1002
"126";1002
"127";1002
"128";1002
"129";1002
"130";1002
"131";1002
"132";1002
"133";1002
"134";1002
"135";1002
"136";1002
"137";1002
"138";1002
"139";1002
"140";1002
"141";1002
"142";1002
"143";1002
"144";1002
"145";1003
"146";1003
"147";1003
"148";1003
"149";1003
"150";1003
"151";1003
"152";1003
"153";1003
"154";1003
"155";1003
"156";1003
"157";1003
"158";1003
"159";1003
"160";1003
"161";1003
"162";1003
"163";1003
"164";1003
"165";1003
"166";1003
"167";1003
"168";1003
"169";1003
"170";1003
"171";1003
"172";1003
"173";1003
"174";1003
"175";1003
"176";1003
"177";1003
"178";1003
"179";1003
"180";1003
"181";1004
"182";1004
"183";1004
"184";1004
"185";1004
"186";1004
"187";1004
"188";1004
"189";1004
"190";1004
"191";1004
"192";1004
"193";1004
"194";1004
"195";1004
"196";1004
"197";1004
"198";1004
"199";1004
"200";1004
"201";1004
"202";1004
"203";1004
"204";1004
"205";1004
"206";1004
"207";1004
"208";1004
"209";1004
"210";1004
"211";1004
"212";1004
"213";1004
"214";1004
"215";1004
"216";1004
"217";1005
"218";1005
"219";1005
"220";1005
"221";1005
"222";1005
"223";1005
"224";1005
"225";1005
"226";1005
"227";1005
"228";1005
"229";1005
"230";1005
"231";1005
"232";1005
"233";1005
"234";1005
"235";1005
"236";1005
"237";1005
"238";1005
"239";1005
"240";1005
"241";1005
"242";1005
"243";1005
"244";1005
"245";1005
"246";1005
"247";1005
"248";1005
"249";1005
"250";1005
"251";1005
"252";1005
"253";1006
"254";1006
"255";1006
"256";1006
"257";1006
"258";1006
"259";1006
"260";1006
"261";1006
"262";1006
"263";1006
"264";1006
"265";1006
"266";1006
"267";1006
"268";1006
"269";1006
"270";1006
"271";1006
"272";1006
"273";1006
"274";1006
"275";1006
"276";1006
"277";1006
"278";1006
"279";1006
"280";1006
"281";1006
"282";1006
"283";1006
"284";1006
"285";1006
"286";1006
"287";1006
"288";1006
"289";1007
"290";1007
"291";1007
"292";1007
"293";1007
"294";1007
"295";1007
"296";1007
"297";1007
"298";1007
"299";1007
"300";1007
"301";1007
"302";1007
"303";1007
"304";1007
"305";1007
"306";1007
"307";1007
"308";1007
"309";1007
"310";1007
"311";1007
"312";1007
"313";1007
"314";1007
"315";1007
"316";1007
"317";1007
"318";1007
"319";1007
"320";1007
"321";1007
"322";1007
"323";1007
"324";1007
"325";1009
"326";1009
"327";1009
"328";1009
"329";1009
"330";1009
"331";1009
"332";1009
"333";1009
"334";1009
"335";1009
"336";1009
"337";1009
"338";1009
"339";1009
"340";1009
"341";1009
"342";1009
"343";1009
"344";1009
"345";1009
"346";1009
"347";1009
"348";1009
"349";1009
"350";1009
"351";1009
"352";1009
"353";1009
"354";1009
"355";1009
"356";1009
"357";1009
"358";1009
"359";1009
"360";1009
"361";101
"362";101
"363";101
"364";101
"365";101
"366";101
"367";101
"368";101
"369";101
"370";101
"371";101
"372";101
"373";101
"374";101
"375";101
"376";101
"377";101
"378";101
"379";101
"380";101
"381";101
"382";101
"383";101
"384";101
"385";101
"386";101
"387";101
"388";101
"389";101
"390";101
"391";101
"392";101
"393";101
"394";101
"395";101
"396";101
"397";1010
"398";1010
"399";1010
"400";1010
"401";1010
"402";1010
"403";1010
"404";1010
"405";1010
"406";1010
"407";1010
"408";1010
"409";1010
"410";1010
"411";1010
"412";1010
"413";1010
"414";1010
"415";1010
"416";1010
"417";1010
"418";1010
"419";1010
"420";1010
"421";1010
"422";1010
"423";1010
"424";1010
"425";1010
"426";1010
"427";1010
"428";1010
"429";1010
"430";1010
"431";1010
"432";1010
"433";1011
"434";1011
"435";1011
"436";1011
"437";1011
"438";1011
"439";1011
"440";1011
"441";1011
"442";1011
"443";1011
"444";1011
"445";1011
"446";1011
"447";1011
"448";1011
"449";1011
"450";1011
"451";1011
"452";1011
"453";1011
"454";1011
"455";1011
"456";1011
"457";1011
"458";1011
"459";1011
"460";1011
"461";1011
"462";1011
"463";1011
"464";1011
"465";1011
"466";1011
"467";1011
"468";1011
"469";1012
"470";1012
"471";1012
"472";1012
"473";1012
"474";1012
"475";1012
"476";1012
"477";1012
"478";1012
"479";1012
"480";1012
"481";1012
"482";1012
"483";1012
"484";1012
"485";1012
"486";1012
"487";1012
"488";1012
"489";1012
"490";1012
"491";1012
"492";1012
"493";1012
"494";1012
"495";1012
"496";1012
"497";1012
"498";1012
"499";1012
"500";1012
"501";1012
"502";1012
"503";1012
"504";1012
"505";1013
"506";1013
"507";1013
"508";1013
"509";1013
"510";1013
"511";1013
"512";1013
"513";1013
"514";1013
"515";1013
"516";1013
"517";1013
"518";1013
"519";1013
"520";1013
"521";1013
"522";1013
"523";1013
"524";1013
"525";1013
"526";1013
"527";1013
"528";1013
"529";1013
"530";1013
"531";1013
"532";1013
"533";1013
"534";1013
"535";1013
"536";1013
"537";1013
"538";1013
"539";1013
"540";1013
"541";1014
"542";1014
"543";1014
"544";1014
"545";1014
"546";1014
"547";1014
"548";1014
"549";1014
"550";1014
"551";1014
"552";1014
"553";1014
"554";1014
"555";1014
"556";1014
"557";1014
"558";1014
"559";1014
"560";1014
"561";1014
"562";1014
"563";1014
"564";1014
"565";1014
"566";1014
"567";1014
"568";1014
"569";1014
"570";1014
"571";1014
"572";1014
"573";1014
"574";1014
"575";1014
"576";1014
"577";1015
"578";1015
"579";1015
"580";1015
"581";1015
"582";1015
"583";1015
"584";1015
"585";1015
"586";1015
"587";1015
"588";1015
"589";1015
"590";1015
"591";1015
"592";1015
"593";1015
"594";1015
"595";1015
"596";1015
"597";1015
"598";1015
"599";1015
"600";1015
"601";1015
"602";1015
"603";1015
"604";1015
"605";1015
"606";1015
"607";1015
"608";1015
"609";1015
"610";1015
"611";1015
"612";1015
"613";1016
"614";1016
"615";1016
"616";1016
"617";1016
"618";1016
"619";1016
"620";1016
"621";1016
"622";1016
"623";1016
"624";1016
"625";1016
"626";1016
"627";1016
"628";1016
"629";1016
"630";1016
"631";1016
"632";1016
"633";1016
"634";1016
"635";1016
"636";1016
"637";1016
"638";1016
"639";1016
"640";1016
"641";1016
"642";1016
"643";1016
"644";1016
"645";1016
"646";1016
"647";1016
"648";1016
"649";1017
"650";1017
"651";1017
"652";1017
"653";1017
"654";1017
"655";1017
"656";1017
"657";1017
"658";1017
"659";1017
"660";1017
"661";1017
"662";1017
"663";1017
"664";1017
"665";1017
"666";1017
"667";1017
"668";1017
"669";1017
"670";1017
"671";1017
"672";1017
"673";1017
"674";1017
"675";1017
"676";1017
"677";1017
"678";1017
"679";1017
"680";1017
"681";1017
"682";1017
"683";1017
"684";1017
"685";1018
"686";1018
"687";1018
"688";1018
"689";1018
"690";1018
"691";1018
"692";1018
"693";1018
"694";1018
"695";1018
"696";1018
"697";1018
"698";1018
"699";1018
"700";1018
"701";1018
"702";1018
"703";1018
"704";1018
"705";1018
"706";1018
"707";1018
"708";1018
"709";1018
"710";1018
"711";1018
"712";1018
"713";1018
"714";1018
"715";1018
"716";1018
"717";1018
"718";1018
"719";1018
"720";1018
"721";1020
"722";1020
"723";1020
"724";1020
"725";1020
"726";1020
"727";1020
"728";1020
"729";1020
"730";1020
"731";1020
"732";1020
"733";1020
"734";1020
"735";1020
"736";1020
"737";1020
"738";1020
"739";1020
"740";1020
"741";1020
"742";1020
"743";1020
"744";1020
"745";1020
"746";1020
"747";1020
"748";1020
"749";1020
"750";1020
"751";1020
"752";1020
"753";1020
"754";1020
"755";1020
"756";1020
"757";1022
"758";1022
"759";1022
"760";1022
"761";1022
"762";1022
"763";1022
"764";1022
"765";1022
"766";1022
"767";1022
"768";1022
"769";1022
"770";1022
"771";1022
"772";1022
"773";1022
"774";1022
"775";1022
"776";1022
"777";1022
"778";1022
"779";1022
"780";1022
"781";1022
"782";1022
"783";1022
"784";1022
"785";1022
"786";1022
"787";1022
"788";1022
"789";1022
"790";1022
"791";1022
"792";1022
"793";1023
"794";1023
"795";1023
"796";1023
"797";1023
"798";1023
"799";1023
"800";1023
"801";1023
"802";1023
"803";1023
"804";1023
"805";1023
"806";1023
"807";1023
"808";1023
"809";1023
"810";1023
"811";1023
"812";1023
"813";1023
"814";1023
"815";1023
"816";1023
"817";1023
"818";1023
"819";1023
"820";1023
"821";1023
"822";1023
"823";1023
"824";1023
"825";1023
"826";1023
"827";1023
"828";1023
"829";1024
"830";1024
"831";1024
"832";1024
"833";1024
"834";1024
"835";1024
"836";1024
"837";1024
"838";1024
"839";1024
"840";1024
"841";1024
"842";1024
"843";1024
"844";1024
"845";1024
"846";1024
"847";1024
"848";1024
"849";1024
"850";1024
"851";1024
"852";1024
"853";1024
"854";1024
"855";1024
"856";1024
"857";1024
"858";1024
"859";1024
"860";1024
"861";1024
"862";1024
"863";1024
"864";1024
"865";1025
"866";1025
"867";1025
"868";1025
"869";1025
"870";1025
"871";1025
"872";1025
"873";1025
"874";1025
"875";1025
"876";1025
"877";1025
"878";1025
"879";1025
"880";1025
"881";1025
"882";1025
"883";1025
"884";1025
"885";1025
"886";1025
"887";1025
"888";1025
"889";1025
"890";1025
"891";1025
"892";1025
"893";1025
"894";1025
"895";1025
"896";1025
"897";1025
"898";1025
"899";1025
"900";1025
"901";1026
"902";1026
"903";1026
"904";1026
"905";1026
"906";1026
"907";1026
"908";1026
"909";1026
"910";1026
"911";1026
"912";1026
"913";1026
"914";1026
"915";1026
"916";1026
"917";1026
"918";1026
"919";1026
"920";1026
"921";1026
"922";1026
"923";1026
"924";1026
"925";1026
"926";1026
"927";1026
"928";1026
"929";1026
"930";1026
"931";1026
"932";1026
"933";1026
"934";1026
"935";1026
"936";1026
"937";1027
"938";1027
"939";1027
"940";1027
"941";1027
"942";1027
"943";1027
"944";1027
"945";1027
"946";1027
"947";1027
"948";1027
"949";1027
"950";1027
"951";1027
"952";1027
"953";1027
"954";1027
"955";1027
"956";1027
"957";1027
"958";1027
"959";1027
"960";1027
"961";1027
"962";1027
"963";1027
"964";1027
"965";1027
"966";1027
"967";1027
"968";1027
"969";1027
"970";1027
"971";1027
"972";1027
"973";1028
"974";1028
"975";1028
"976";1028
"977";1028
"978";1028
"979";1028
"980";1028
"981";1028
"982";1028
"983";1028
"984";1028
"985";1028
"986";1028
"987";1028
"988";1028
"989";1028
"990";1028
"991";1028
"992";1028
"993";1028
"994";1028
"995";1028
"996";1028
"997";1028
"998";1028
"999";1028
"1000";1028
"1001";1028
"1002";1028
"1003";1028
"1004";1028
"1005";1028
"1006";1028
"1007";1028
"1008";1028
"1009";1029
"1010";1029
"1011";1029
"1012";1029
"1013";1029
"1014";1029
"1015";1029
"1016";1029
"1017";1029
"1018";1029
"1019";1029
"1020";1029
"1021";1029
"1022";1029
"1023";1029
"1024";1029
"1025";1029
"1026";1029
"1027";1029
"1028";1029
"1029";1029
"1030";1029
"1031";1029
"1032";1029
"1033";1029
"1034";1029
"1035";1029
"1036";1029
"1037";1029
"1038";1029
"1039";1029
"1040";1029
"1041";1029
"1042";1029
"1043";1029
"1044";1029
"1045";1031
"1046";1031
"1047";1031
"1048";1031
"1049";1031
"1050";1031
"1051";1031
"1052";1031
"1053";1031
"1054";1031
"1055";1031
"1056";1031
"1057";1031
"1058";1031
"1059";1031
"1060";1031
"1061";1031
"1062";1031
"1063";1031
"1064";1031
"1065";1031
"1066";1031
"1067";1031
"1068";1031
"1069";1031
"1070";1031
"1071";1031
"1072";1031
"1073";1031
"1074";1031
"1075";1031
"1076";1031
"1077";1031
"1078";1031
"1079";1031
"1080";1031
"1081";1033
"1082";1033
"1083";1033
"1084";1033
"1085";1033
"1086";1033
"1087";1033
"1088";1033
"1089";1033
"1090";1033
"1091";1033
"1092";1033
"1093";1033
"1094";1033
"1095";1033
"1096";1033
"1097";1033
"1098";1033
"1099";1033
"1100";1033
"1101";1033
"1102";1033
"1103";1033
"1104";1033
"1105";1033
"1106";1033
"1107";1033
"1108";1033
"1109";1033
"1110";1033
"1111";1033
"1112";1033
"1113";1033
"1114";1033
"1115";1033
"1116";1033
"1117";1037
"1118";1037
"1119";1037
"1120";1037
"1121";1037
"1122";1037
"1123";1037
"1124";1037
"1125";1037
"1126";1037
"1127";1037
"1128";1037
"1129";1037
"1130";1037
"1131";1037
"1132";1037
"1133";1037
"1134";1037
"1135";1037
"1136";1037
"1137";1037
"1138";1037
"1139";1037
"1140";1037
"1141";1037
"1142";1037
"1143";1037
"1144";1037
