"";"respondent"
"73";1003
"74";1003
"75";1003
"76";1003
"77";1003
"78";1003
"79";1003
"80";1003
"81";1003
"82";1003
"83";1003
"84";1003
"85";1003
"86";1003
"87";1003
"88";1003
"89";1003
"90";1003
"91";1003
"92";1003
"93";1003
"94";1003
"95";1003
"96";1003
"97";1003
"98";1003
"99";1003
"100";1003
"101";1003
"102";1003
"103";1003
"104";1003
"105";1003
"106";1003
"107";1003
"108";1003
"145";1005
"146";1005
"147";1005
"148";1005
"149";1005
"150";1005
"151";1005
"152";1005
"153";1005
"154";1005
"155";1005
"156";1005
"157";1005
"158";1005
"159";1005
"160";1005
"161";1005
"162";1005
"163";1005
"164";1005
"165";1005
"166";1005
"167";1005
"168";1005
"169";1005
"170";1005
"171";1005
"172";1005
"173";1005
"174";1005
"175";1005
"176";1005
"177";1005
"178";1005
"179";1005
"180";1005
"253";101
"254";101
"255";101
"256";101
"257";101
"258";101
"259";101
"260";101
"261";101
"262";101
"263";101
"264";101
"265";101
"266";101
"267";101
"268";101
"269";101
"270";101
"271";101
"272";101
"273";101
"274";101
"275";101
"276";101
"277";101
"278";101
"279";101
"280";101
"281";101
"282";101
"283";101
"284";101
"285";101
"286";101
"287";101
"288";101
"289";1012
"290";1012
"291";1012
"292";1012
"293";1012
"294";1012
"295";1012
"296";1012
"297";1012
"298";1012
"299";1012
"300";1012
"301";1012
"302";1012
"303";1012
"304";1012
"305";1012
"306";1012
"307";1012
"308";1012
"309";1012
"310";1012
"311";1012
"312";1012
"313";1012
"314";1012
"315";1012
"316";1012
"317";1012
"318";1012
"319";1012
"320";1012
"321";1012
"322";1012
"323";1012
"324";1012
"361";1015
"362";1015
"363";1015
"364";1015
"365";1015
"366";1015
"367";1015
"368";1015
"369";1015
"370";1015
"371";1015
"372";1015
"373";1015
"374";1015
"375";1015
"376";1015
"377";1015
"378";1015
"379";1015
"380";1015
"381";1015
"382";1015
"383";1015
"384";1015
"385";1015
"386";1015
"387";1015
"388";1015
"389";1015
"390";1015
"391";1015
"392";1015
"393";1015
"394";1015
"395";1015
"396";1015
"397";1016
"398";1016
"399";1016
"400";1016
"401";1016
"402";1016
"403";1016
"404";1016
"405";1016
"406";1016
"407";1016
"408";1016
"409";1016
"410";1016
"411";1016
"412";1016
"413";1016
"414";1016
"415";1016
"416";1016
"417";1016
"418";1016
"419";1016
"420";1016
"421";1016
"422";1016
"423";1016
"424";1016
"425";1016
"426";1016
"427";1016
"428";1016
"429";1016
"430";1016
"431";1016
"432";1016
"577";1024
"578";1024
"579";1024
"580";1024
"581";1024
"582";1024
"583";1024
"584";1024
"585";1024
"586";1024
"587";1024
"588";1024
"589";1024
"590";1024
"591";1024
"592";1024
"593";1024
"594";1024
"595";1024
"596";1024
"597";1024
"598";1024
"599";1024
"600";1024
"601";1024
"602";1024
"603";1024
"604";1024
"605";1024
"606";1024
"607";1024
"608";1024
"609";1024
"610";1024
"611";1024
"612";1024
"649";1026
"650";1026
"651";1026
"652";1026
"653";1026
"654";1026
"655";1026
"656";1026
"657";1026
"658";1026
"659";1026
"660";1026
"661";1026
"662";1026
"663";1026
"664";1026
"665";1026
"666";1026
"667";1026
"668";1026
"669";1026
"670";1026
"671";1026
"672";1026
"673";1026
"674";1026
"675";1026
"676";1026
"677";1026
"678";1026
"679";1026
"680";1026
"681";1026
"682";1026
"683";1026
"684";1026
"685";1027
"686";1027
"687";1027
"688";1027
"689";1027
"690";1027
"691";1027
"692";1027
"693";1027
"694";1027
"695";1027
"696";1027
"697";1027
"698";1027
"699";1027
"700";1027
"701";1027
"702";1027
"703";1027
"704";1027
"705";1027
"706";1027
"707";1027
"708";1027
"709";1027
"710";1027
"711";1027
"712";1027
"713";1027
"714";1027
"715";1027
"716";1027
"717";1027
"718";1027
"719";1027
"720";1027
"721";1028
"722";1028
"723";1028
"724";1028
"725";1028
"726";1028
"727";1028
"728";1028
"729";1028
"730";1028
"731";1028
"732";1028
"733";1028
"734";1028
"735";1028
"736";1028
"737";1028
"738";1028
"739";1028
"740";1028
"741";1028
"742";1028
"743";1028
"744";1028
"745";1028
"746";1028
"747";1028
"748";1028
"749";1028
"750";1028
"751";1028
"752";1028
"753";1028
"754";1028
"755";1028
"756";1028
"973";1042
"974";1042
"975";1042
"976";1042
"977";1042
"978";1042
"979";1042
"980";1042
"981";1042
"982";1042
"983";1042
"984";1042
"985";1042
"986";1042
