"";"Valor economico en riesgo##Servicios ecosistemicos culturales en riesgo";"Valor economico en riesgo##Servicios ecosistemicos medioambientales en riesgo";"Valor economico en riesgo##Coste del tratamiento";"Servicios ecosistemicos medioambientales en riesgo##Coste del tratamiento";"Servicios ecosistemicos medioambientales en riesgo##Servicios ecosistemicos culturales en riesgo";"Servicios ecosistemicos culturales en riesgo##Coste del tratamiento";"Zona no designada como de especial interes para la conservacion##Zona catalogada o bien como ZEPA o bien como ZEC";"Zona no designada como de especial interes para la conservacion##Zona catalogada como ZEPA y como ZEC";"Zona catalogada o bien como ZEPA o bien como ZEC##Zona catalogada como ZEPA y como ZEC"
"1";5;5;6;7;9;5;5;6;5
"2";9;9;9;7;9;8;9;9;9
"3";6;5;6;5;5;6;5;6;5
"4";9;7;5;7;8;7;7;8;7
"5";7;9;8;9;9;9;9;8;8
"6";6;6;5;7;6;6;7;7;7
"7";8;4;5;6;8;7;8;5;8
"8";3;3;3;3;3;3;3;3;3
"9";1;8;5;6;3;4;8;8;8
"10";7;7;7;7;9;7;6;5;5
"11";4;6;7;7;7;7;6;7;7
"12";8;8;8;8;9;7;7;7;6
"13";9;9;9;9;9;9;9;9;9
"14";7;7;7;7;7;7;2;2;1
"15";2;1;2;2;1;1;1;1;3
"16";1;1;1;5;5;5;9;9;9
"17";5;7;7;7;7;6;7;6;6
"18";7;9;8;8;9;9;9;8;9
"19";8;8;8;8;8;8;6;6;8
"20";9;8;6;5;7;9;8;7;6
"21";9;8;9;9;9;9;9;9;9
"22";8;8;7;8;8;7;8;8;1
"23";7;8;6;7;7;8;8;7;7
"24";9;9;7;8;7;7;8;1;7
"25";8;8;3;3;8;8;9;5;9
"26";5;5;4;4;4;6;6;5;6
"27";7;8;8;6;7;8;9;9;9
"28";6;6;6;6;6;6;6;6;6
"29";9;9;8;9;9;8;9;9;9
"30";5;6;4;6;6;4;5;4;4
"31";8;8;7;8;6;8;9;8;7
"32";5;6;5;6;5;5;5;5;6
"33";9;8;8;9;9;8;9;9;8
"34";9;9;9;9;9;9;9;9;9
"35";8;8;8;8;8;8;8;8;8
"36";3;9;5;9;7;7;8;6;7
"37";4;2;4;5;4;7;4;2;5
"38";6;6;4;7;2;3;9;6;3
"39";8;4;3;4;3;4;2;3;3
"40";9;9;9;9;9;9;9;9;9
"41";7;7;3;5;5;5;9;9;7
"42";7;7;5;7;5;3;5;5;3
"43";3;7;3;7;1;5;6;5;1
"44";7;6;7;6;8;8;7;8;8
"45";7;7;6;8;6;7;8;8;7
"46";8;6;8;8;7;8;9;7;8
"47";5;7;3;3;5;3;7;7;5
"48";7;7;7;7;7;7;8;7;8
"49";5;6;4;8;6;5;3;8;5
"50";5;5;5;5;5;5;5;5;5
"51";5;5;5;5;5;5;6;6;5
"52";1;1;1;1;2;2;2;1;1
"53";7;8;8;6;6;8;6;9;9
"54";1;9;8;8;6;8;6;9;7
"55";1;4;3;4;5;5;5;5;6
"56";5;5;5;5;5;5;5;1;5
"57";6;9;8;9;9;9;9;5;6
"58";6;6;6;7;5;6;5;5;6
"59";4;5;5;5;5;5;5;8;6
"60";2;5;2;9;9;5;5;3;8
"61";4;9;6;6;6;8;8;8;9
"62";5;8;5;7;7;7;8;9;9
"63";1;8;4;6;7;5;9;5;7
"64";9;9;9;8;8;8;8;8;8
"65";4;7;5;9;4;9;7;8;5
"66";6;6;6;7;7;7;7;6;6
"67";7;7;6;7;7;7;7;7;7
"68";7;7;7;7;6;8;6;8;7
"69";7;7;8;7;6;7;7;6;7
"70";8;9;4;8;8;6;7;4;2
"71";6;7;6;6;6;6;7;7;7
"72";7;9;7;8;9;9;9;8;8
"73";7;7;7;7;7;7;7;7;7
"74";6;6;4;9;9;9;9;9;9
"75";1;7;7;5;3;8;7;7;7
"76";1;9;9;8;9;9;8;8;8
"77";9;9;9;9;9;9;9;9;9
"78";6;7;2;6;7;4;6;6;4
"79";6;5;6;4;4;7;4;4;7
"80";1;1;1;2;3;2;1;4;1
"81";5;5;9;9;5;9;9;9;9
"82";7;7;6;7;8;6;6;6;6
"83";1;3;5;3;1;3;5;5;5
"84";5;6;5;5;5;5;6;5;6
"85";5;7;6;7;6;5;6;5;5
"86";7;7;5;7;6;6;7;7;7
"87";5;5;5;5;5;5;5;5;5
"88";7;7;8;5;5;7;7;7;7
"89";5;5;6;6;5;6;7;7;7
"90";5;6;6;6;5;6;5;6;6
"91";5;8;9;9;9;8;9;9;9
"92";7;7;5;7;7;6;9;8;5
"93";9;9;6;8;8;8;8;7;8
"94";7;7;9;5;7;5;7;4;8
"95";4;6;5;6;6;6;7;7;8
"96";7;7;5;7;7;6;8;8;7
"97";7;7;7;7;7;7;7;7;7
"98";7;8;9;6;9;6;9;9;9
"99";9;9;9;9;8;8;8;8;8
"100";9;9;9;9;9;9;9;9;9
"101";8;8;6;8;6;6;6;6;7
"102";9;8;2;7;1;8;9;9;6
"103";9;9;9;9;9;9;9;9;9
"104";7;7;7;7;6;7;7;7;6
"105";9;9;9;9;9;9;9;9;9
"106";8;2;4;5;6;7;3;3;5
"107";1;8;5;5;6;5;6;6;7
"108";9;6;7;5;3;2;1;4;1
"109";7;7;9;9;5;8;7;8;6
"110";5;6;6;6;3;3;6;4;5
"111";6;5;8;6;5;6;7;7;7
"112";2;1;5;7;1;8;9;5;1
"113";7;7;7;7;7;7;7;7;7
"114";7;6;8;1;7;9;8;7;7
"115";5;5;5;6;6;5;6;5;5
"116";5;9;6;9;8;7;8;6;7
"117";8;9;8;8;9;8;8;8;7
"118";1;1;1;9;1;6;1;1;2
"119";8;7;6;8;8;7;2;3;2
"120";5;6;4;8;3;6;6;9;5
"121";4;3;5;1;7;6;7;8;3
"122";2;6;5;6;5;6;6;5;6
"123";9;9;9;4;7;7;7;7;7
"124";3;3;3;5;5;6;5;4;6
"125";9;8;8;8;8;8;8;7;8
"126";6;6;6;5;6;6;6;6;6
"127";7;7;7;6;7;6;6;6;6
